sample,bam,set,mark,condition
H3K27ac_rep1_C,resources/H3K27ac_rep1_C_PB042_chr1_1_10Mb.bam,H3K27ac_C,H3K27ac,C
H3K27ac_rep1_T,resources/H3K27ac_rep1_T_PB045_chr1_1_10Mb.bam,H3K27ac_T,H3K27ac,T
H3K27ac_rep2_C,resources/H3K27ac_rep2_C_PB052_chr1_1_10Mb.bam,H3K27ac_C,H3K27ac,C
H3K27ac_rep2_T,resources/H3K27ac_rep2_T_PB055_chr1_1_10Mb.bam,H3K27ac_T,H3K27ac,T
H3K27ac_rep3_C,resources/H3K27ac_rep3_C_PB062_chr1_1_10Mb.bam,H3K27ac_C,H3K27ac,C
H3K27ac_rep3_T,resources/H3K27ac_rep3_T_PB065_chr1_1_10Mb.bam,H3K27ac_T,H3K27ac,T
H3K27me3_rep1_C,resources/H3K27me3_rep1_C_PB041_chr1_1_10Mb.bam,H3K27me3_C,H3K27me3,C
H3K27me3_rep1_T,resources/H3K27me3_rep1_T_PB044_chr1_1_10Mb.bam,H3K27me3_T,H3K27me3,T
H3K27me3_rep2_C,resources/H3K27me3_rep2_C_PB051_chr1_1_10Mb.bam,H3K27me3_C,H3K27me3,C
H3K27me3_rep2_T,resources/H3K27me3_rep2_T_PB054_chr1_1_10Mb.bam,H3K27me3_T,H3K27me3,T
H3K27me3_rep3_C,resources/H3K27me3_rep3_C_PB061_chr1_1_10Mb.bam,H3K27me3_C,H3K27me3,C
H3K27me3_rep3_T,resources/H3K27me3_rep3_T_PB064_chr1_1_10Mb.bam,H3K27me3_T,H3K27me3,T
H3K4me3_rep1_C,resources/H3K4me3_rep1_C_PB043_chr1_1_10Mb.bam,H3K4me3_C,H3K4me3,C
H3K4me3_rep1_T,resources/H3K4me3_rep1_T_PB046_chr1_1_10Mb.bam,H3K4me3_T,H3K4me3,T
H3K4me3_rep2_C,resources/H3K4me3_rep2_C_PB053_chr1_1_10Mb.bam,H3K4me3_C,H3K4me3,C
H3K4me3_rep2_T,resources/H3K4me3_rep2_T_PB056_chr1_1_10Mb.bam,H3K4me3_T,H3K4me3,T
H3K4me3_rep3_C,resources/H3K4me3_rep3_C_PB063_chr1_1_10Mb.bam,H3K4me3_C,H3K4me3,C
H3K4me3_rep3_T,resources/H3K4me3_rep3_T_PB066_chr1_1_10Mb.bam,H3K4me3_T,H3K4me3,T
